field,var1,var2,r,p_value,significant
WV_AG_041,sat_evi,soil_silt_pct,-0.06959275156259537,0.014046980068087578,Yes
WV_AG_048,sat_evi,soil_silt_pct,-0.18727505207061768,1.843969638440357e-12,Yes
WV_AG_041,sat_evi,terrain_aspect,0.059610821306705475,0.02680077776312828,Yes
WV_AG_002,sat_evi,terrain_elevation,0.16098424792289734,5.324934164434305e-44,Yes
WV_AG_008,sat_evi,terrain_elevation,0.24405452609062195,4.170807014999322e-21,Yes
WV_AG_041,sat_evi,terrain_elevation,-0.33793866634368896,3.2689860518563914e-38,Yes
WV_AG_048,sat_evi,terrain_elevation,-0.28289738297462463,3.0089246485048995e-27,Yes
WV_AG_008,sat_evi,terrain_slope,-0.1495954841375351,1.0419785034798679e-08,Yes
WV_AG_041,sat_evi,terrain_slope,0.1201501116156578,7.621308668603888e-06,Yes
WV_AG_002,sat_msavi,sat_evi,0.9992143511772156,0.0,Yes
WV_AG_008,sat_msavi,sat_evi,0.9993197321891785,0.0,Yes
WV_AG_041,sat_msavi,sat_evi,0.998637318611145,0.0,Yes
WV_AG_048,sat_msavi,sat_evi,0.9983421564102173,0.0,Yes
WV_AG_002,sat_msavi,sat_ndmi,0.9480213522911072,0.0,Yes
WV_AG_008,sat_msavi,sat_ndmi,0.9052706360816956,0.0,Yes
WV_AG_041,sat_msavi,sat_ndmi,0.9635190963745117,0.0,Yes
WV_AG_048,sat_msavi,sat_ndmi,0.9552056193351746,0.0,Yes
WV_AG_002,sat_msavi,soil_awc,0.04390007257461548,0.0016519301570951939,Yes
WV_AG_008,sat_msavi,soil_awc,0.15662410855293274,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_awc,-0.07175230234861374,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_awc,0.17023104429244995,1.610269279028742e-10,Yes
WV_AG_002,sat_msavi,soil_cec,0.12406662106513977,4.546251338028327e-19,Yes
WV_AG_008,sat_msavi,soil_cec,-0.15662413835525513,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_cec,0.07175230234861374,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_cec,-0.17023104429244995,1.610269279028742e-10,Yes
WV_AG_002,sat_msavi,soil_clay_pct,0.0874946117401123,3.3794422815702774e-10,Yes
WV_AG_008,sat_msavi,soil_clay_pct,-0.15662412345409393,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_clay_pct,0.07175230979919434,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_clay_pct,-0.17023101449012756,1.610317157396679e-10,Yes
WV_AG_002,sat_msavi,soil_om_pct,0.1298653781414032,9.334332547051712e-21,Yes
WV_AG_008,sat_msavi,soil_om_pct,-0.15662412345409393,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_om_pct,0.07175230234861374,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_om_pct,-0.17023104429244995,1.610269279028742e-10,Yes
WV_AG_002,sat_msavi,soil_ph,0.08531854301691055,9.153328095479196e-10,Yes
WV_AG_008,sat_msavi,soil_ph,0.15662413835525513,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_ph,0.07175230979919434,0.011326204054057598,Yes
WV_AG_002,sat_msavi,soil_sand_pct,-0.10886404663324356,5.1809367377037095e-15,Yes
WV_AG_008,sat_msavi,soil_sand_pct,0.15662410855293274,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_sand_pct,-0.07175230234861374,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_sand_pct,0.17023101449012756,1.610317157396679e-10,Yes
WV_AG_002,sat_msavi,soil_silt_pct,0.06856541335582733,8.747231277084211e-07,Yes
WV_AG_008,sat_msavi,soil_silt_pct,0.15662412345409393,5.332945640645903e-09,Yes
WV_AG_041,sat_msavi,soil_silt_pct,-0.07175232470035553,0.011326204054057598,Yes
WV_AG_048,sat_msavi,soil_silt_pct,-0.17023104429244995,1.610269279028742e-10,Yes
WV_AG_041,sat_msavi,terrain_aspect,0.05582510307431221,0.03812123462557793,Yes
WV_AG_002,sat_msavi,terrain_elevation,0.17177052795886993,0.0,Yes
WV_AG_008,sat_msavi,terrain_elevation,0.2541483938694,8.263150112589468e-23,Yes
WV_AG_041,sat_msavi,terrain_elevation,-0.33219805359840393,6.584104194404882e-37,Yes
WV_AG_048,sat_msavi,terrain_elevation,-0.28547754883766174,9.746451595273432e-28,Yes
WV_AG_002,sat_msavi,terrain_slope,-0.02990739233791828,0.01022888720035553,Yes
WV_AG_008,sat_msavi,terrain_slope,-0.1616986095905304,5.911086065069071e-10,Yes
WV_AG_041,sat_msavi,terrain_slope,0.11846169084310532,1.0231879059574567e-05,Yes
WV_AG_002,sat_ndmi,soil_awc,0.05176064744591713,0.00020668852084781975,Yes
WV_AG_008,sat_ndmi,soil_awc,0.15145345032215118,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_awc,0.24620534479618073,1.1124269805466202e-20,Yes
WV_AG_002,sat_ndmi,soil_cec,0.11842876672744751,1.6747765389322316e-17,Yes
WV_AG_008,sat_ndmi,soil_cec,-0.15145348012447357,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_cec,-0.24620532989501953,1.1124269805466202e-20,Yes
WV_AG_002,sat_ndmi,soil_clay_pct,0.08253468573093414,3.1609745931859834e-09,Yes
WV_AG_008,sat_ndmi,soil_clay_pct,-0.15145346522331238,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_clay_pct,-0.24620530009269714,1.1124269805466202e-20,Yes
WV_AG_002,sat_ndmi,soil_om_pct,0.1161285787820816,6.950067459621595e-17,Yes
WV_AG_008,sat_ndmi,soil_om_pct,-0.15145348012447357,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_om_pct,-0.24620535969734192,1.1124269805466202e-20,Yes
WV_AG_002,sat_ndmi,soil_ph,0.05677390098571777,4.6882345486665145e-05,Yes
WV_AG_008,sat_ndmi,soil_ph,0.15145346522331238,1.686081674279194e-08,Yes
WV_AG_002,sat_ndmi,soil_sand_pct,-0.08103124797344208,6.0721698780241695e-09,Yes
WV_AG_008,sat_ndmi,soil_sand_pct,0.15145346522331238,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_sand_pct,0.24620532989501953,1.1124269805466202e-20,Yes
WV_AG_002,sat_ndmi,soil_silt_pct,0.04110632836818695,0.003217417746782303,Yes
WV_AG_008,sat_ndmi,soil_silt_pct,0.15145345032215118,1.686081674279194e-08,Yes
WV_AG_048,sat_ndmi,soil_silt_pct,-0.24620535969734192,1.1124269805466202e-20,Yes
WV_AG_041,sat_ndmi,terrain_aspect,0.06217523664236069,0.020896410569548607,Yes
WV_AG_002,sat_ndmi,terrain_elevation,0.15564914047718048,3.346300732807663e-41,Yes
WV_AG_008,sat_ndmi,terrain_elevation,0.21152248978614807,3.957362811164917e-16,Yes
WV_AG_041,sat_ndmi,terrain_elevation,-0.253213107585907,1.2472553807140072e-21,Yes
WV_AG_048,sat_ndmi,terrain_elevation,-0.23342855274677277,7.896394857414031e-19,Yes
WV_AG_002,sat_ndmi,terrain_slope,-0.05925114080309868,3.5629633998723875e-07,Yes
WV_AG_008,sat_ndmi,terrain_slope,-0.11974679678678513,4.822818937100237e-06,Yes
WV_AG_041,sat_ndmi,terrain_slope,0.10343052446842194,0.00011854369950015098,Yes
WV_AG_002,sat_ndvi,sat_evi,0.9604151248931885,0.0,Yes
WV_AG_008,sat_ndvi,sat_evi,0.8323874473571777,0.0,Yes
WV_AG_041,sat_ndvi,sat_evi,0.7664579153060913,0.0,Yes
WV_AG_048,sat_ndvi,sat_evi,0.9632906913757324,0.0,Yes
WV_AG_002,sat_ndvi,sat_msavi,0.9496442675590515,0.0,Yes
WV_AG_008,sat_ndvi,sat_msavi,0.8220888376235962,0.0,Yes
WV_AG_041,sat_ndvi,sat_msavi,0.7836275696754456,0.0,Yes
WV_AG_048,sat_ndvi,sat_msavi,0.9597465991973877,0.0,Yes
WV_AG_002,sat_ndvi,sat_ndmi,0.8505908250808716,0.0,Yes
WV_AG_008,sat_ndvi,sat_ndmi,0.7915388345718384,0.0,Yes
WV_AG_041,sat_ndvi,sat_ndmi,0.8669053316116333,0.0,Yes
WV_AG_048,sat_ndvi,sat_ndmi,0.9311872124671936,0.0,Yes
WV_AG_008,sat_ndvi,soil_awc,0.08871164172887802,0.000995422014966607,Yes
WV_AG_048,sat_ndvi,soil_awc,0.19501078128814697,2.097370400185733e-13,Yes
WV_AG_002,sat_ndvi,soil_cec,0.17619919776916504,4.415782034337061e-37,Yes
WV_AG_008,sat_ndvi,soil_cec,-0.088711678981781,0.0009954062988981605,Yes
WV_AG_048,sat_ndvi,soil_cec,-0.19501075148582458,2.097370400185733e-13,Yes
WV_AG_002,sat_ndvi,soil_clay_pct,0.11519283056259155,1.230062304793879e-16,Yes
WV_AG_008,sat_ndvi,soil_clay_pct,-0.08871167153120041,0.000995422014966607,Yes
WV_AG_048,sat_ndvi,soil_clay_pct,-0.1950107216835022,2.0974420930543886e-13,Yes
WV_AG_002,sat_ndvi,soil_om_pct,0.2204638570547104,0.0,Yes
WV_AG_008,sat_ndvi,soil_om_pct,-0.08871166408061981,0.000995422014966607,Yes
WV_AG_048,sat_ndvi,soil_om_pct,-0.19501076638698578,2.097370400185733e-13,Yes
WV_AG_002,sat_ndvi,soil_ph,0.19522146880626678,2.802596928649634e-45,Yes
WV_AG_008,sat_ndvi,soil_ph,0.08871166408061981,0.000995422014966607,Yes
WV_AG_002,sat_ndvi,soil_sand_pct,-0.21906496584415436,0.0,Yes
WV_AG_008,sat_ndvi,soil_sand_pct,0.08871166408061981,0.000995422014966607,Yes
WV_AG_048,sat_ndvi,soil_sand_pct,0.19501075148582458,2.097370400185733e-13,Yes
WV_AG_002,sat_ndvi,soil_silt_pct,0.17268969118595123,1.1514620059284804e-35,Yes
WV_AG_008,sat_ndvi,soil_silt_pct,0.08871165663003922,0.000995422014966607,Yes
WV_AG_048,sat_ndvi,soil_silt_pct,-0.19501076638698578,2.097370400185733e-13,Yes
WV_AG_041,sat_ndvi,terrain_aspect,0.057639796286821365,0.032268814742565155,Yes
WV_AG_002,sat_ndvi,terrain_elevation,0.09323840588331223,1.043776995682201e-15,Yes
WV_AG_008,sat_ndvi,terrain_elevation,0.07265913486480713,0.005639270879328251,Yes
WV_AG_041,sat_ndvi,terrain_elevation,-0.08885972201824188,0.0009513311088085175,Yes
WV_AG_048,sat_ndvi,terrain_elevation,-0.2596205174922943,4.629456096927199e-23,Yes
WV_AG_002,sat_ndvi,terrain_slope,0.038171350955963135,0.0010453083086758852,Yes
WV_AG_041,sat_ndvi,terrain_slope,0.07002174854278564,0.009267385117709637,Yes
WV_AG_002,soil_awc,soil_silt_pct,-0.5436556339263916,0.0,Yes
WV_AG_008,soil_awc,soil_silt_pct,1.0,0.0,Yes
WV_AG_041,soil_awc,soil_silt_pct,1.0,0.0,Yes
WV_AG_048,soil_awc,soil_silt_pct,-0.9999997019767761,0.0,Yes
WV_AG_002,soil_cec,soil_awc,0.6881777048110962,0.0,Yes
WV_AG_008,soil_cec,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_041,soil_cec,soil_awc,-1.0,0.0,Yes
WV_AG_048,soil_cec,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_002,soil_cec,soil_silt_pct,0.19831857085227966,0.0,Yes
WV_AG_008,soil_cec,soil_silt_pct,-1.0,0.0,Yes
WV_AG_041,soil_cec,soil_silt_pct,-0.9999997615814209,0.0,Yes
WV_AG_048,soil_cec,soil_silt_pct,1.0,0.0,Yes
WV_AG_002,soil_clay_pct,soil_awc,0.9001070857048035,0.0,Yes
WV_AG_008,soil_clay_pct,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_041,soil_clay_pct,soil_awc,-0.9999995231628418,0.0,Yes
WV_AG_048,soil_clay_pct,soil_awc,-0.9999997019767761,0.0,Yes
WV_AG_002,soil_clay_pct,soil_cec,0.916584849357605,0.0,Yes
WV_AG_008,soil_clay_pct,soil_cec,0.9999998807907104,0.0,Yes
WV_AG_041,soil_clay_pct,soil_cec,1.0,0.0,Yes
WV_AG_048,soil_clay_pct,soil_cec,0.9999998807907104,0.0,Yes
WV_AG_002,soil_clay_pct,soil_sand_pct,-0.4104454815387726,0.0,Yes
WV_AG_008,soil_clay_pct,soil_sand_pct,-1.0,0.0,Yes
WV_AG_041,soil_clay_pct,soil_sand_pct,-1.0,0.0,Yes
WV_AG_048,soil_clay_pct,soil_sand_pct,-0.9999994039535522,0.0,Yes
WV_AG_002,soil_clay_pct,soil_silt_pct,-0.1236865296959877,5.828238081841972e-19,Yes
WV_AG_008,soil_clay_pct,soil_silt_pct,-1.0,0.0,Yes
WV_AG_041,soil_clay_pct,soil_silt_pct,-0.9999998807907104,0.0,Yes
WV_AG_048,soil_clay_pct,soil_silt_pct,0.9999998211860657,0.0,Yes
WV_AG_008,soil_om_pct,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_041,soil_om_pct,soil_awc,-0.9999995231628418,0.0,Yes
WV_AG_048,soil_om_pct,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_002,soil_om_pct,soil_cec,0.7130249738693237,0.0,Yes
WV_AG_008,soil_om_pct,soil_cec,1.0,0.0,Yes
WV_AG_041,soil_om_pct,soil_cec,1.0,0.0,Yes
WV_AG_048,soil_om_pct,soil_cec,1.0,0.0,Yes
WV_AG_002,soil_om_pct,soil_clay_pct,0.3875997066497803,0.0,Yes
WV_AG_008,soil_om_pct,soil_clay_pct,1.0,0.0,Yes
WV_AG_041,soil_om_pct,soil_clay_pct,0.9999999403953552,0.0,Yes
WV_AG_048,soil_om_pct,soil_clay_pct,0.9999998807907104,0.0,Yes
WV_AG_002,soil_om_pct,soil_sand_pct,-0.9251834750175476,0.0,Yes
WV_AG_008,soil_om_pct,soil_sand_pct,-1.0,0.0,Yes
WV_AG_041,soil_om_pct,soil_sand_pct,-1.0,0.0,Yes
WV_AG_048,soil_om_pct,soil_sand_pct,-0.9999998807907104,0.0,Yes
WV_AG_002,soil_om_pct,soil_silt_pct,0.7857300043106079,0.0,Yes
WV_AG_008,soil_om_pct,soil_silt_pct,-1.0,0.0,Yes
WV_AG_041,soil_om_pct,soil_silt_pct,-0.9999998807907104,0.0,Yes
WV_AG_048,soil_om_pct,soil_silt_pct,1.0,0.0,Yes
WV_AG_002,soil_ph,soil_awc,-0.37850654125213623,0.0,Yes
WV_AG_008,soil_ph,soil_awc,1.0,0.0,Yes
WV_AG_041,soil_ph,soil_awc,-0.9999998807907104,0.0,Yes
WV_AG_002,soil_ph,soil_cec,0.3708261549472809,0.0,Yes
WV_AG_008,soil_ph,soil_cec,-1.0,0.0,Yes
WV_AG_041,soil_ph,soil_cec,0.9999996423721313,0.0,Yes
WV_AG_002,soil_ph,soil_clay_pct,0.0625598356127739,7.247964276757557e-06,Yes
WV_AG_008,soil_ph,soil_clay_pct,-0.9999999403953552,0.0,Yes
WV_AG_041,soil_ph,soil_clay_pct,0.9999997019767761,0.0,Yes
WV_AG_002,soil_ph,soil_om_pct,0.8627249002456665,0.0,Yes
WV_AG_008,soil_ph,soil_om_pct,-0.9999999403953552,0.0,Yes
WV_AG_041,soil_ph,soil_om_pct,0.9999998211860657,0.0,Yes
WV_AG_002,soil_ph,soil_sand_pct,-0.935776948928833,0.0,Yes
WV_AG_008,soil_ph,soil_sand_pct,0.9999999403953552,0.0,Yes
WV_AG_041,soil_ph,soil_sand_pct,-0.9999996423721313,0.0,Yes
WV_AG_002,soil_ph,soil_silt_pct,0.9826412796974182,0.0,Yes
WV_AG_008,soil_ph,soil_silt_pct,1.0,0.0,Yes
WV_AG_041,soil_ph,soil_silt_pct,-1.0,0.0,Yes
WV_AG_002,soil_sand_pct,soil_awc,0.027836518362164497,0.04608231037855148,Yes
WV_AG_008,soil_sand_pct,soil_awc,1.0,0.0,Yes
WV_AG_041,soil_sand_pct,soil_awc,1.0,0.0,Yes
WV_AG_048,soil_sand_pct,soil_awc,0.9999997019767761,0.0,Yes
WV_AG_002,soil_sand_pct,soil_cec,-0.6626298427581787,0.0,Yes
WV_AG_008,soil_sand_pct,soil_cec,-0.9999998807907104,0.0,Yes
WV_AG_041,soil_sand_pct,soil_cec,-1.0,0.0,Yes
WV_AG_048,soil_sand_pct,soil_cec,-0.9999998807907104,0.0,Yes
WV_AG_002,soil_sand_pct,soil_silt_pct,-0.8541156649589539,0.0,Yes
WV_AG_008,soil_sand_pct,soil_silt_pct,1.0,0.0,Yes
WV_AG_041,soil_sand_pct,soil_silt_pct,0.9999998807907104,0.0,Yes
WV_AG_048,soil_sand_pct,soil_silt_pct,-1.0,0.0,Yes
WV_AG_002,terrain_aspect,soil_awc,-0.05217545107007027,0.00018367634038440883,Yes
WV_AG_002,terrain_aspect,soil_om_pct,0.07367845624685287,1.2527954140750808e-07,Yes
WV_AG_002,terrain_aspect,soil_ph,0.07807061076164246,2.1232553493177875e-08,Yes
WV_AG_002,terrain_aspect,soil_sand_pct,-0.0644378513097763,3.814782303379616e-06,Yes
WV_AG_002,terrain_aspect,soil_silt_pct,0.08125020563602448,5.5253450703673934e-09,Yes
WV_AG_008,terrain_elevation,soil_awc,0.0569462850689888,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_awc,0.2133450210094452,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_cec,-0.3364998996257782,0.0,Yes
WV_AG_008,terrain_elevation,soil_cec,-0.056946296244859695,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_cec,-0.2133450210094452,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_clay_pct,-0.2379543036222458,0.0,Yes
WV_AG_008,terrain_elevation,soil_clay_pct,-0.0569462887942791,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_clay_pct,-0.213345006108284,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_om_pct,-0.4354064166545868,0.0,Yes
WV_AG_008,terrain_elevation,soil_om_pct,-0.056946296244859695,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_om_pct,-0.2133450210094452,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_ph,-0.4648822844028473,0.0,Yes
WV_AG_008,terrain_elevation,soil_ph,0.05694630369544029,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_ph,-0.21334503591060638,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_sand_pct,0.508817195892334,0.0,Yes
WV_AG_008,terrain_elevation,soil_sand_pct,0.0569462887942791,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_sand_pct,0.213345006108284,2.784136311252683e-14,Yes
WV_AG_002,terrain_elevation,soil_silt_pct,-0.41798529028892517,0.0,Yes
WV_AG_008,terrain_elevation,soil_silt_pct,0.056946296244859695,0.03480256348848343,Yes
WV_AG_041,terrain_elevation,soil_silt_pct,0.2133449763059616,2.7842299930966492e-14,Yes
WV_AG_002,terrain_elevation,terrain_aspect,-0.03368079289793968,0.0038258458953350782,Yes
WV_AG_041,terrain_elevation,terrain_aspect,-0.0875789076089859,0.0011270655086264014,Yes
WV_AG_048,terrain_elevation,terrain_aspect,-0.05934746935963631,0.026166612282395363,Yes
WV_AG_002,terrain_elevation,terrain_slope,-0.3108791708946228,0.0,Yes
WV_AG_008,terrain_elevation,terrain_slope,-0.8353396654129028,0.0,Yes
WV_AG_041,terrain_elevation,terrain_slope,-0.41835907101631165,0.0,Yes
WV_AG_048,terrain_elevation,terrain_slope,-0.3615168333053589,1.401298464324817e-44,Yes
WV_AG_002,terrain_slope,soil_awc,-0.13077493011951447,4.992414659733987e-21,Yes
WV_AG_008,terrain_slope,soil_awc,-0.14443877339363098,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_awc,0.06421088427305222,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_awc,-0.12965160608291626,1.2030478728775051e-06,Yes
WV_AG_002,terrain_slope,soil_cec,0.21184252202510834,0.0,Yes
WV_AG_008,terrain_slope,soil_cec,0.14443877339363098,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_cec,-0.06421088427305222,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_cec,0.12965162098407745,1.2030204743496142e-06,Yes
WV_AG_002,terrain_slope,soil_clay_pct,0.06613606959581375,2.1028283754276345e-06,Yes
WV_AG_008,terrain_slope,soil_clay_pct,0.14443877339363098,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_clay_pct,-0.06421088427305222,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_clay_pct,0.12965159118175507,1.2030478728775051e-06,Yes
WV_AG_002,terrain_slope,soil_om_pct,0.41410934925079346,0.0,Yes
WV_AG_008,terrain_slope,soil_om_pct,0.14443877339363098,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_om_pct,-0.06421088427305222,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_om_pct,0.12965160608291626,1.2030478728775051e-06,Yes
WV_AG_002,terrain_slope,soil_ph,0.44008979201316833,0.0,Yes
WV_AG_008,terrain_slope,soil_ph,-0.1444387584924698,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_ph,-0.06421087682247162,0.023468809202313423,Yes
WV_AG_002,terrain_slope,soil_sand_pct,-0.4254639446735382,0.0,Yes
WV_AG_008,terrain_slope,soil_sand_pct,-0.1444387584924698,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_sand_pct,0.06421088427305222,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_sand_pct,-0.12965159118175507,1.2030478728775051e-06,Yes
WV_AG_002,terrain_slope,soil_silt_pct,0.4252737760543823,0.0,Yes
WV_AG_008,terrain_slope,soil_silt_pct,-0.14443877339363098,7.559783199440062e-08,Yes
WV_AG_041,terrain_slope,soil_silt_pct,0.064210906624794,0.023468809202313423,Yes
WV_AG_048,terrain_slope,soil_silt_pct,0.12965162098407745,1.2030204743496142e-06,Yes
WV_AG_002,terrain_slope,terrain_aspect,0.16948334872722626,0.0,Yes
WV_AG_041,terrain_slope,terrain_aspect,0.40840139985084534,0.0,Yes
WV_AG_048,terrain_slope,terrain_aspect,0.09329408407211304,0.00046481654862873256,Yes
